"ReviewLiked","","","","","","","","",""
"This application is very good","","","1","","","","","",""
"I cannot find my previous location its bad","","","","0","","","","",""
"Sometimes it takes too long to open the map","","","","","0","","","",""
"I easily find part time work here","","","1","","","","","",""
"Its not that secure","","0","","","","","","",""
"I can show my talent and make benefit from it","","","","","1","","","",""
"Map location finding its a best feature","","","","1","","","","",""
"The payment process needs to be upgraded","","","","0","","","","",""
"The work done process need a good new feature","","","","","0","","","",""
"Wow they added a new feature that I can post my work","","","","","","1","","",""
"The KYC option is not accepting my pan card","","","","0","","","","",""
"This app surprise me more and its recommendation is nice","","","","","","1","","",""
"They should add filter mode","","","0","","","","","",""
"I found many times my work profile is not highlighted","","","","","0","","","",""
"They added a new short video mode which is best","","","","","1","","","",""
"Short video mode is very helpful that I can post my work","","","","","","1","","",""
"In my mobile its browse faster and its delightful","","","","","1","","","",""
"the finding job mode on map location is too messy sometimes that I cannot locate and continue","","","","","","","","","0"
"The UI design is not that good for me. I expected more","","","","","0","","","",""
"I always find difficulties in adding the UPI mode","","","","","0","","","",""
"Oh my god now I can show my talent here","","","","1","","","","",""
"High network needed for load, its only for city area","","","","","0","","","",""
"How can I trust these people which I dont know who are they and its kind of insecure.","","","","","","","","0",""
"When I get back from job, I can do another part time job to get extra money itâ€™s really useful","","","","","","","its very useful","","1"
"The direction mode is very clean as same as the google map","","","","","","1","","",""
"Now I can make my own pocket money","","","","1","","","","",""
"Now I can share my talent whoever I want and make benefit from it","","","","","","","1","",""
"The token mode is fire because now I can verify my account and get trusted by others","","","","","","","","1",""
"The collection of token is very difficult that you have to reviewed by many person opinion","","","","","","","","","0"
"They should add a direct verify account so that I can easily trusted","","","","","","0","","",""
"I don’t understand why they are not added the danger areas which is not secured for girls","","","","","","","","","0"
"They added the many works precisely that we can found easily by that","","","","","","","1","",""
"This is the best app I ever witnessed the features and the work profile just killing!!","","","","","","","","1",""
"Please do not add that much ad on the app. We feel disturbed by that","","","","","","","0","",""
"The premium membership is cheaper and best","","","","","1","","","",""
